bank,n_tokens,vocab_size,top1_token,top1_share
Poppy_Bank,35,1,intuit,1.0
Green_Dot_Bank,14,3,intuit,0.5714285714285714
Univest_Bank_and_Trust_Co,14,2,gingr,0.5
HAPO_Community_Credit_Union,16,4,tekmetric,0.5
Alerus,12,2,jade,0.5
James_Polk_Stone_Community_Bank,84,8,ellacash,0.4880952380952381
Honor_Credit_Union,19,6,ipvalue,0.47368421052631576
Security_Bank_of_Kansas_City,17,6,expansioncapital,0.47058823529411764
LINKBANK,18,6,gusto,0.4444444444444444
First_Mid_Bank_&_Trust,14,3,adp,0.42857142857142855
National_Bank_of_Arizona,47,12,paypal,0.40425531914893614
Popular_Bank,10,4,intuit,0.4
South_Central_Bank,10,4,netflix.com,0.4
STCU,10,4,capital,0.4
PrimeSouth_Bank,20,4,kevin,0.4
LoadPay,16,4,christopher,0.375
Banner_Bank,24,9,merchantbank,0.375
Chesapeake_Bank,27,10,squareinc,0.37037037037037035
Shopify,38,9,customcat,0.3684210526315789
SAG-AFTRA_Federal_Credit_Union,11,3,elev8,0.36363636363636365
Cornerstone_Bank,83,22,intuit,0.3614457831325301
Farmers_Insurance_Federal_Credit_Union,31,10,leagueapps,0.3548387096774194
Harmony_Bank,20,5,merchant,0.35
Fibre_Federal_Credit_Union,12,3,roga,0.3333333333333333
Northwest_Community_Credit_Union,18,3,merch,0.3333333333333333
Timberland_Bank,18,5,abc,0.3333333333333333
HarborOne_Bank,12,4,quin,0.3333333333333333
Logix,38,9,cigna,0.3157894736842105
Magnifi_Financial,38,8,citizens,0.3157894736842105
Amegy_Bank_of_Texas,86,14,intuit,0.313953488372093
American_Express,26,7,pirate,0.3076923076923077
First,13,6,toast,0.3076923076923077
The_Bank_OF_ELK_RIVER,17,6,amazon,0.29411764705882354
Jewett_City_Savings_Bank,70,14,merchant,0.2857142857142857
OMB_Bank,35,7,zen,0.2857142857142857
Associated_Bank,14,6,amazon.com,0.2857142857142857
Tropical_Financial_Credit_Union,21,7,facebk,0.2857142857142857
American_National_Bank_of_Texas,14,5,scooter's,0.2857142857142857
Fulton_Bank,42,9,otr,0.2857142857142857
Bank_of_Hawaii,14,6,turo,0.2857142857142857
Heartland_Bank,66,19,whatnot,0.2727272727272727
"Capital_One,_N.A.",11,5,apple,0.2727272727272727
First_Federal_Lakewood,22,7,immigrant,0.2727272727272727
First_National_Bank_of_Fort_Smith,22,8,performancelr,0.2727272727272727
Worcester_Credit_Union,30,9,amazon.com,0.26666666666666666
Prosperity_Bank,15,7,payroll,0.26666666666666666
Central_Pacific_Bank,19,8,citi,0.2631578947368421
Great_Plains_Bank,76,22,southwes,0.2631578947368421
Carter_Bank,39,7,ls,0.2564102564102564
Capital_One_Bank,40,11,geaux,0.25
