bank,n_tokens,vocab_size,top1_token,top1_share
James_Polk_Stone_Community_Bank,36,1,bizpay,1.0
Needham_Bank,16,1,fis,1.0
The_First_Bank,11,1,citizens,1.0
Bristol_Morgan_Bank,14,2,paypal,0.8571428571428571
FirstBank,17,2,zelle,0.8235294117647058
National_Bank_of_Arizona,18,3,paypal,0.7777777777777778
Somerset_Trust_Company,12,3,epay,0.75
Teachers_Federal_Credit_Union,12,4,gsbank,0.75
UFCU,14,3,venmo,0.7142857142857143
Brex,10,2,shopify,0.7
Broadway_Bank,19,5,paypal,0.6842105263157895
Consumers_Credit_Union,13,3,epx,0.6153846153846154
Shopify_Balance,35,2,shopify,0.5714285714285714
Goldenwest_Credit_Union,14,4,venmo,0.5714285714285714
MidwestOne_Bank,16,2,inc,0.5625
Pinnacle,16,5,paypal,0.5625
Worcester_Credit_Union,25,4,fis,0.56
First_Commonwealth_Bank,11,4,paypal,0.5454545454545454
Honor_Credit_Union,15,2,cash,0.5333333333333333
Langley,15,3,cash,0.5333333333333333
Anderson_Brothers_Bank,19,6,paypal,0.5263157894736842
ORNL_Federal_Credit_Union,10,2,cash,0.5
Capital_One_Bank,16,2,square,0.5
United_Bank,16,2,cash,0.5
Horizon_Bank,16,5,paypal,0.5
Washington_Trust_Bank,16,5,paypal,0.5
Wright-Patt_Credit_Union,24,3,cash,0.5
Farmers,12,4,paypal,0.5
Delta_Community_Credit_Union,31,3,cash,0.4838709677419355
First_Horizon,29,4,paypal,0.4827586206896552
plaid_report_type2,23,5,tst,0.4782608695652174
TowneBank,30,3,cash,0.4666666666666667
Citizens_Bank_&_Trust_Company,28,3,cash,0.4642857142857143
CommunityAmerica_Credit_Union,13,3,edi,0.46153846153846156
Grasshopper_Bank,13,3,transfirst,0.46153846153846156
"Wells_Fargo_Bank,_N.A",13,3,square,0.46153846153846156
Fidelity_Bank,11,3,fintecheft,0.45454545454545453
Bank_of_America,11,4,zelle,0.45454545454545453
MSU_Federal_Credit_Union,20,3,cash,0.45
Canvas_Credit_Union,25,4,cash,0.44
Empower_Federal_Credit_Union,14,5,paypal,0.42857142857142855
Ocean_Bank,14,3,xpress,0.42857142857142855
Pinnacle_Bank,14,3,appfolio,0.42857142857142855
First_Community_Bank,14,3,intuit,0.42857142857142855
BECU,45,6,cash,0.4222222222222222
Liberty_Bank,17,5,shift4,0.4117647058823529
ACNB_Bank,32,4,app,0.40625
Randolph-Brooks_Federal_Credit_Union,10,4,paypal,0.4
People's_Bank,10,4,cash,0.4
Huntington_National_Bank,10,3,aci,0.4
Bank_of_Brookhaven,15,4,cash,0.4
BankFirst,10,4,paypal,0.4
State_Bank,10,3,tsys,0.4
Morris_Bank,13,5,adp,0.38461538461538464
Dacotah_Bank,13,4,switch,0.38461538461538464
Fortifi_Bank,16,4,cash,0.375
FNBO,16,4,cash,0.375
America_First_Credit_Union,16,4,cash,0.375
NewtekBank,16,4,square,0.375
Shopify,46,5,shopify,0.3695652173913043
Redstone_Federal_Credit_Union,19,5,app,0.3684210526315789
"JPMorgan_Chase_Bank,_N.A",11,5,zelle,0.36363636363636365
Santander,22,3,square,0.36363636363636365
VyStar_Credit_Union,11,4,paypal,0.36363636363636365
Lili,17,6,apple,0.35294117647058826
BankPlus,20,6,merchant,0.35
Citizens_National_Bank,12,6,eqt,0.3333333333333333
Amegy_Bank,24,8,fdms,0.3333333333333333
Eastern_Bank,21,3,comb.,0.3333333333333333
BayPort_Credit_Union,12,4,finbe,0.3333333333333333
Novo,12,4,cash,0.3333333333333333
Frontier_Credit_Union,12,4,merchant,0.3333333333333333
First_Financial_Bank,12,3,hrtland,0.3333333333333333
Eastman_Credit_Union,15,5,cash,0.3333333333333333
First_1_Bank,12,4,clearent,0.3333333333333333
ICCU,18,6,cash,0.3333333333333333
BankUnited,68,6,qualia,0.3235294117647059
DecisionLogic,269,28,bluevine,0.3159851301115242
ConnectOne_Bank,16,7,shopify,0.3125
Regions_Bank,13,4,faire,0.3076923076923077
Fifth_Third_Bank,11,5,expansioncapital,0.2727272727272727
Centennial_Bank,11,4,hrtland,0.2727272727272727
plaid_report_type1,31,9,shopify,0.25806451612903225
Union_Bank_&_Trust,16,6,hrtland,0.25
Alpine_Bank,12,5,paypal,0.25
Digital_Federal_Credit_Union,24,7,intuit,0.25
PB&T_Bank,12,5,cash,0.25
Great_Plains_Bank,12,4,great,0.25
Achieva_Credit_Union,17,8,uber,0.23529411764705882
RCB_Bank,34,11,pay,0.23529411764705882
Bangor_Savings_Bank,13,5,square,0.23076923076923078
First_Bank,18,6,sq,0.2222222222222222
Tri_Counties_Bank,14,6,forward,0.21428571428571427
BancFirst,10,5,sq,0.2
Community_First_Credit_Union,15,8,dd,0.2
Coastal_Carolina_National_Bank,10,5,cash,0.2
Republic_Bank,50,12,zenotipmts0463,0.2
Michigan_Schools_&_Government_Credit_Union,10,5,dd,0.2
First_Fidelity_Bank,12,6,auth,0.16666666666666666
Mountain_America_Credit_Union,12,7,pp,0.16666666666666666
GuarantyBank,13,8,secureaccountser,0.15384615384615385
Platte_Valley_Bank,13,8,sq,0.15384615384615385
