bank,n_tokens,vocab_size,top1_token,top1_share
Vermont_Federal_Credit_Union,24,1,pos,1.0
American_National_Bank,13,1,check,1.0
Settlers_best_Credit_Union,12,1,purchase,1.0
Great_Southern_Bank,12,1,ccd,1.0
Carter_Bank,16,1,pos,1.0
Square,20,2,card,0.95
Brannen_Bank,10,2,ccd,0.9
Origin_Bank,33,4,ach,0.8787878787878788
Jovia_Financial_Credit_Union,27,4,pos,0.8518518518518519
First_Bank_Texas,20,2,chk,0.85
Partners_Bank,13,3,check,0.8461538461538461
BECU,79,5,pos,0.8354430379746836
WaFd_Bank,17,3,pos,0.8235294117647058
First_National_Bank_of_Omaha,11,2,check,0.8181818181818182
Metro_Bank,11,2,pur,0.8181818181818182
Del_Norte_Bank,90,7,ccd,0.8111111111111111
First_Savings_Bank,10,2,check,0.8
5_STAR_BANK,10,3,ac,0.8
Michigan_First_Credit_Union,13,3,ach,0.7692307692307693
Meridian_Bank,13,3,ach,0.7692307692307693
NBT_Bank,17,3,eft,0.7647058823529411
Synovus_Bank,15,3,check,0.7333333333333333
HomeBank,36,4,pos,0.7222222222222222
Bank_OZK,43,6,pos,0.7209302325581395
Notre_Dame_Federal_Credit_Union,14,2,ach,0.7142857142857143
HomeTown_Bank,59,8,check,0.711864406779661
First_Cahawba_Bank,17,2,pos,0.7058823529411765
Tompkins_Bank,68,10,ccd,0.7058823529411765
Magnifi_Financial,13,2,ach,0.6923076923076923
Northwest_Bank,13,3,check,0.6923076923076923
East_West_Bank,16,4,check,0.6875
German_American_Bank,16,3,purchase-sig,0.6875
United_Community,28,3,pos,0.6785714285714286
The_Honesdale_National_Bank,15,3,dbt,0.6666666666666666
Lake_Trust,24,4,pos,0.6666666666666666
OMB_Bank,30,4,check,0.6666666666666666
Worcester_Credit_Union,17,4,pos,0.6470588235294118
West_Coast_Community_Bank,17,3,ach,0.6470588235294118
First_Community,14,2,pos,0.6428571428571429
Brex,25,4,ach,0.64
Rogue_Credit_Union,11,3,pos,0.6363636363636364
Old_Second_National_Bank,11,2,ccd,0.6363636363636364
Colony_Bank,11,3,check,0.6363636363636364
Valliance_Bank,38,3,check,0.631578947368421
TBK_Bank,38,7,check,0.631578947368421
1st_Source_Bank,58,8,check,0.6206896551724138
First_Federal_Lakewood,13,3,ppd,0.6153846153846154
James_Polk_Stone_Community_Bank,13,5,check,0.6153846153846154
First_Financial_Bank,10,2,check,0.6
Busey_Bank,10,3,check,0.6
First_National_Bank_of_Fort_Smith,25,2,ccd,0.6
Kennebec_Savings_Bank,10,3,check,0.6
Guaranty_Bank,10,3,debit,0.6
BankUnited,44,7,web,0.5909090909090909
California_Credit_Union,22,3,pos,0.5909090909090909
Capital_One_Bank,22,4,ach,0.5909090909090909
Cornerstone_Bank,68,9,debit,0.5882352941176471
Commerce_Bank,42,5,ach,0.5714285714285714
Capital_Bank,14,4,check,0.5714285714285714
Towne_Bank,42,3,check,0.5714285714285714
Fortifi_Bank,37,5,pur,0.5675675675675675
Synergy_Bank,23,4,pur,0.5652173913043478
Nicolet_National_Bank,39,7,check,0.5641025641025641
GenoaBank,18,3,check,0.5555555555555556
Randolph-Brooks_Federal_Credit_Union,67,10,ach,0.5522388059701493
Needham_Bank,29,5,pos,0.5517241379310345
Farmers_Bank,11,2,deposit,0.5454545454545454
A&S_Federal_Credit_Union,24,2,dbt,0.5416666666666666
AmFirst,13,3,pmts,0.5384615384615384
Security_Bank_of_Kansas_City,13,4,ccd,0.5384615384615384
MidwestOne_Bank,28,5,check,0.5357142857142857
Eastman_Credit_Union,30,6,pos,0.5333333333333333
Citizens,17,3,dbt,0.5294117647058824
Idaho_Central_Credit_Union,44,4,pointofsalewithdrawal,0.5227272727272727
Regions_Bank_b22,25,6,card,0.52
Beverly_Bank,35,2,purchase,0.5142857142857142
"Capital_One,_N.A.",16,3,debit,0.5
Central_Pacific_Bank,20,4,check,0.5
Central_Bank,28,4,check,0.5
Citibank,60,3,debit,0.5
Citizens_State_Bank,14,3,pos,0.5
Kirkpatrick_Bank,16,5,purchase,0.5
KodaBank,10,4,ccd,0.5
Washington_Trust,12,4,ccd,0.5
FNB_Bank,10,3,vsa,0.5
PrimeSouth_Bank,14,2,inst,0.5
Bristol_Morgan_Bank,22,2,debit,0.5
First_United_Bank,24,6,dbt,0.5
Amerant_Bank,12,3,debit,0.5
Dacotah_Bank,14,3,pos,0.5
Citi,14,3,debit,0.5
Valley_National_Bank,76,9,ach,0.4868421052631579
FirstBank,58,5,visa,0.4827586206896552
Keesler_Federal_Credit_Union,25,5,ach,0.48
Farmers_Bank_&_Trust,19,5,check,0.47368421052631576
Oklahoma_Central_Credit_Union,34,5,debit,0.47058823529411764
Oregon_State_Credit_Union,17,5,ach,0.47058823529411764
Ocean_Bank,49,10,ccd,0.46938775510204084
Gulf_Coast_Bank,15,7,check,0.4666666666666667
Landmark_Credit_Union,28,3,online,0.4642857142857143
Dime_Community_Bank,28,7,check,0.4642857142857143
Arvest,28,4,pos,0.4642857142857143
Southern_Michigan_Bank_&_Trust,28,4,ccd,0.4642857142857143
Amarillo_National_Bank,41,11,pos,0.4634146341463415
Union_Savings_Bank,13,4,check,0.46153846153846156
Plumas_Bank,37,5,ach,0.4594594594594595
Capital_One,24,6,ach,0.4583333333333333
Altra_Federal_Credit_Union,59,6,debit,0.4576271186440678
Stockman_Bank,22,6,pos,0.45454545454545453
Green_Dot_Bank,11,3,direct,0.45454545454545453
Third_Coast_Bank,44,5,ach,0.45454545454545453
Redwood_Credit_Union,55,6,ach,0.45454545454545453
Tri_Counties_Bank,42,8,pos,0.4523809523809524
Tioga_State_Bank,31,8,dbt,0.45161290322580644
Freedom_Bank,20,5,check,0.45
Dupaco_Credit_Union,38,6,mc,0.4473684210526316
Camden_National_Bank,65,9,dbt,0.4461538461538462
OakStar_Bank,54,9,dbt,0.4444444444444444
First_Heritage_Federal_Credit_Union,18,6,check,0.4444444444444444
GenFed_Financial,139,11,debit,0.43884892086330934
R_Bank,16,6,chk,0.4375
Centennial_Bank,32,6,check,0.4375
Heartland_Bank,32,6,purchase,0.4375
"Citibank,_N.A",62,8,debit,0.43548387096774194
"Citibank,_N.A.",23,6,debit,0.43478260869565216
Community_West_Bank,23,7,check,0.43478260869565216
Woodforest_National_Bank,95,7,pos,0.43157894736842106
Arvest_Bank,14,5,check,0.42857142857142855
California_Bank_&_Trust,21,8,check,0.42857142857142855
Mainstreet_Community_Bank_of_Florida,14,3,pos,0.42857142857142855
Nevada_State_Bank,28,10,check,0.42857142857142855
First_National_Bank,14,5,ccd,0.42857142857142855
Regions_Bank,28,6,card,0.42857142857142855
Resource_One_Credit_Union,19,4,debit,0.42105263157894735
FirstLight_Federal_Credit_Union,38,5,card,0.42105263157894735
Security_Service_Federal_Credit_Union,31,10,check,0.41935483870967744
1st_Security_Bank,48,10,check,0.4166666666666667
Oak_Valley_Community_Bank,12,3,pos,0.4166666666666667
Glacier_Family_of_Banks,24,7,ccd,0.4166666666666667
Bank_of_Hope,17,6,check,0.4117647058823529
Grow_Financial,78,7,debit,0.41025641025641024
Citizens_Business_Bank,32,6,check,0.40625
STAR_Financial_Bank,42,5,debit,0.40476190476190477
Stellar_Bank,47,9,dbt,0.40425531914893614
Alpine_Bank,99,14,ccd,0.40404040404040403
Integrity_Bank_&_Trust,15,6,pur,0.4
Riverland_Bank,10,5,edi,0.4
Citadel_Credit_Union,20,7,ach,0.4
DARTBANK,15,4,ccd,0.4
Seasons_Federal_Credit_Union,35,7,card,0.4
CU_HAWAII_Federal_Credit_Union,10,4,debit,0.4
Atlantic_Union_Bank,10,3,pos,0.4
Dundee_Bank,55,5,ach,0.4
Navigant_Credit_Union,63,4,ach,0.3968253968253968
OceanFirst_Bank,58,8,purchase-sig,0.39655172413793105
Coastal_Carolina_National_Bank,48,7,debit,0.3958333333333333
WSFS_Bank,38,4,debit,0.39473684210526316
Barksdale_Federal_Credit_Union,38,5,pos,0.39473684210526316
Royal_Credit_Union,33,8,check,0.3939393939393939
United_Bank,28,7,pos,0.39285714285714285
CCFBANK,28,6,chk,0.39285714285714285
Byline_Bank,64,5,check,0.390625
Morton_Community_Bank,18,4,check,0.3888888888888889
Everwise_Credit_Union,90,7,eft,0.3888888888888889
Simmons_Bank,18,7,check,0.3888888888888889
TruMark_Financial_Credit_Union,80,6,card,0.3875
IBC_Bank,57,7,ach,0.38596491228070173
Zions_Bank,39,13,bankcard,0.38461538461538464
Webster_Bank,13,4,check,0.38461538461538464
Texas_Regional_Bank,13,5,check,0.38461538461538464
Banner_Bank,34,7,ccd,0.38235294117647056
Five_Points_Bank,21,6,check,0.38095238095238093
Farmers_Bank_of_Willards,21,6,debit,0.38095238095238093
CoVantage_Credit_Union,29,4,debit,0.3793103448275862
TowneBank,53,3,pos,0.37735849056603776
F&M_Bank,48,12,check,0.375
Mountain_America_Credit_Union,48,8,debit,0.375
National_Bank_of_Arizona,43,7,xfer,0.37209302325581395
MSU_Federal_Credit_Union,84,6,debit,0.36904761904761907
State_Bank,19,6,check,0.3684210526315789
Park_National_Bank,38,8,purchase,0.3684210526315789
Central_State_Bank,120,10,debit,0.36666666666666664
Consumers_Credit_Union,82,5,debit,0.36585365853658536
RCB_Bank,96,9,ccd,0.3645833333333333
First_American_Bank,22,4,ccd,0.36363636363636365
Heartland_Bank_and_Trust_Company,11,5,dbt,0.36363636363636365
Bankwell,11,3,outgoing,0.36363636363636365
Watertown_Savings_Bank,11,3,pos,0.36363636363636365
Peoples_National_Bank,11,3,pos,0.36363636363636365
Cathay_Bank,33,10,check,0.36363636363636365
Burke_&_Herbert_Bank,58,10,dbt,0.3620689655172414
Members_1st_Federal_Credit_Union,36,5,ach,0.3611111111111111
"Wells_Fargo_Bank,_N.A",25,6,ach,0.36
Lake_Ridge_Bank,14,6,ach,0.35714285714285715
Equity_Bank,28,6,ach,0.35714285714285715
Citizens_Bank_&_Trust_Company,14,5,check,0.35714285714285715
Ent_Credit_Union,73,6,ach,0.3561643835616438
San_Diego_County_Credit_Union,45,7,debit,0.35555555555555557
RBFCU,45,9,pos,0.35555555555555557
ORNL_Federal_Credit_Union,96,7,debit,0.3541666666666667
Manasquan_Bank,51,9,ccd,0.35294117647058826
Digital_Federal_Credit_Union,102,8,debit,0.35294117647058826
Citywide_Banks,17,7,pur,0.35294117647058826
Huntington,17,5,purchase,0.35294117647058826
Kitsap_Credit_Union,34,7,ach,0.35294117647058826
First_International_Bank_&_Trust,34,8,pos,0.35294117647058826
Old_National_Bank,17,7,crd,0.35294117647058826
Banc_of_California,17,4,ach,0.35294117647058826
Bank_of_the_Sierra,34,7,ccd,0.35294117647058826
Farmers_State_Bank,17,6,chk,0.35294117647058826
Langley,77,8,debit,0.35064935064935066
Michigan_Schools_&_Government_Credit_Union,80,6,card,0.35
Frost_Bank,20,6,ach,0.35
Logix,20,5,ach,0.35
TwinStar_Credit_Union,46,6,card,0.34782608695652173
Lindell_Bank,46,9,ccd,0.34782608695652173
Rave_Financial,29,4,debit,0.3448275862068966
Academy_Bank,32,5,pos,0.34375
Southern_Bank,32,4,ach,0.34375
Broadway_Bank,41,9,instxfer,0.34146341463414637
UFCU,188,7,ach,0.3404255319148936
Hudson_Valley_Credit_Union,103,9,debit,0.33980582524271846
Wright-Patt_Credit_Union,71,7,debit,0.3380281690140845
CommunityAmerica_Credit_Union,113,11,ach,0.336283185840708
Timberland_Bank,21,4,bankcard,0.3333333333333333
